o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
1,A1,1,A1,0.0,0,"LINESTRING (-111.9391322 33.4304313,-111.9391322 33.4304313)"
1,A1,2,A2,0.42889552114805984,4,"LINESTRING (-111.9391322 33.4304313,-111.9347148 33.4309263)"
1,A1,3,A3,0.8398373399564387,3,"LINESTRING (-111.9391322 33.4304313,-111.9304603 33.4296853)"
1,A1,4,A4,1.2526290341613846,18,"LINESTRING (-111.9391322 33.4304313,-111.9261617 33.4298852)"
1,A1,5,A5,1.9806829183535675,1,"LINESTRING (-111.9391322 33.4304313,-111.9186286 33.431419)"
1,A1,6,B1,0.3971632124715569,4,"LINESTRING (-111.9391322 33.4304313,-111.9392444 33.4263167)"
1,A1,7,B2,0.5448639849981152,2,"LINESTRING (-111.9391322 33.4304313,-111.9355153 33.4260948)"
1,A1,8,B3,0.9423358219656017,4,"LINESTRING (-111.9391322 33.4304313,-111.9300963 33.4267259)"
1,A1,9,B4,1.2629464093548686,1,"LINESTRING (-111.9391322 33.4304313,-111.9271836 33.4250879)"
1,A1,10,B5,1.7983362691359221,0,"LINESTRING (-111.9391322 33.4304313,-111.9208864 33.42663)"
1,A1,11,C1,0.7072964811312854,4,"LINESTRING (-111.9391322 33.4304313,-111.9387482 33.4231111)"
1,A1,12,C2,0.8610475645865827,3,"LINESTRING (-111.9391322 33.4304313,-111.9344624 33.422827)"
1,A1,13,C3,1.1037520109135237,3,"LINESTRING (-111.9391322 33.4304313,-111.930794 33.4226002)"
1,A1,14,C4,1.4128831077525454,27,"LINESTRING (-111.9391322 33.4304313,-111.9265546 33.4229336)"
1,A1,15,C5,1.899142223529675,0,"LINESTRING (-111.9391322 33.4304313,-111.9208864 33.42305)"
1,A1,16,D1,1.0812321560716638,21,"LINESTRING (-111.9391322 33.4304313,-111.9386832 33.4192347)"
1,A1,17,D2,1.140147958476362,3,"LINESTRING (-111.9391322 33.4304313,-111.9348689 33.419411)"
1,A1,18,D3,1.3319516472905109,3,"LINESTRING (-111.9391322 33.4304313,-111.9306672 33.4195274)"
1,A1,19,D4,1.568801393366272,17,"LINESTRING (-111.9391322 33.4304313,-111.926839 33.4197906)"
1,A1,20,D5,2.053805883367749,0,"LINESTRING (-111.9391322 33.4304313,-111.9208864 33.41947)"
1,A1,21,E1,1.3730313139358334,10,"LINESTRING (-111.9391322 33.4304313,-111.9391344 33.4162015)"
1,A1,22,E2,1.4574319918400735,11,"LINESTRING (-111.9391322 33.4304313,-111.9347173 33.4159864)"
1,A1,23,E3,1.7087278239930566,3,"LINESTRING (-111.9391322 33.4304313,-111.9295699 33.4155261)"
1,A1,24,E4,1.8679162540592555,17,"LINESTRING (-111.9391322 33.4304313,-111.9269472 33.4153886)"
1,A1,25,E5,2.2512542284197776,0,"LINESTRING (-111.9391322 33.4304313,-111.9208864 33.41589)"
2,A2,1,A1,0.42889552114805984,50,"LINESTRING (-111.9347148 33.4309263,-111.9391322 33.4304313)"
2,A2,2,A2,0.0,0,"LINESTRING (-111.9347148 33.4309263,-111.9347148 33.4309263)"
2,A2,3,A3,0.4276249395146829,8,"LINESTRING (-111.9347148 33.4309263,-111.9304603 33.4296853)"
2,A2,4,A4,0.8313832956974513,44,"LINESTRING (-111.9347148 33.4309263,-111.9261617 33.4298852)"
2,A2,5,A5,1.5528886024352222,2,"LINESTRING (-111.9347148 33.4309263,-111.9186286 33.431419)"
2,A2,6,B1,0.6235733110836836,8,"LINESTRING (-111.9347148 33.4309263,-111.9392444 33.4263167)"
2,A2,7,B2,0.47254511852443687,4,"LINESTRING (-111.9347148 33.4309263,-111.9355153 33.4260948)"
2,A2,8,B3,0.6023838197262564,9,"LINESTRING (-111.9347148 33.4309263,-111.9300963 33.4267259)"
2,A2,9,B4,0.9194699325293553,1,"LINESTRING (-111.9347148 33.4309263,-111.9271836 33.4250879)"
2,A2,10,B5,1.397219083596659,0,"LINESTRING (-111.9347148 33.4309263,-111.9208864 33.42663)"
2,A2,11,C1,0.8485907490581498,9,"LINESTRING (-111.9347148 33.4309263,-111.9387482 33.4231111)"
2,A2,12,C2,0.7818815241988242,8,"LINESTRING (-111.9347148 33.4309263,-111.9344624 33.422827)"
2,A2,13,C3,0.8880066526972187,5,"LINESTRING (-111.9347148 33.4309263,-111.930794 33.4226002)"
2,A2,14,C4,1.1021527533769448,66,"LINESTRING (-111.9347148 33.4309263,-111.9265546 33.4229336)"
2,A2,15,C5,1.5355598194013602,0,"LINESTRING (-111.9347148 33.4309263,-111.9208864 33.42305)"
2,A2,16,D1,1.1913365707365433,49,"LINESTRING (-111.9347148 33.4309263,-111.9386832 33.4192347)"
2,A2,17,D2,1.111210905617479,7,"LINESTRING (-111.9347148 33.4309263,-111.9348689 33.419411)"
2,A2,18,D3,1.1671613591271697,6,"LINESTRING (-111.9347148 33.4309263,-111.9306672 33.4195274)"
2,A2,19,D4,1.3160570034517098,42,"LINESTRING (-111.9347148 33.4309263,-111.926839 33.4197906)"
2,A2,20,D5,1.7327193435211594,0,"LINESTRING (-111.9347148 33.4309263,-111.9208864 33.41947)"
2,A2,21,E1,1.4834081458270147,23,"LINESTRING (-111.9347148 33.4309263,-111.9391344 33.4162015)"
2,A2,22,E2,1.4415464604806951,25,"LINESTRING (-111.9347148 33.4309263,-111.9347173 33.4159864)"
