name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
North Scottsdale Road,1,5589756.0,1,2,1,86.74,3,56,1800.0,primary,3,"LINESTRING (-111.9262877 33.4312176, -111.9262851 33.4320000)",a,1,0,,
North Scottsdale Road,2,5589756.0,2,1,1,86.74,3,56,1800.0,primary,3,"LINESTRING (-111.9262851 33.4320000, -111.9262877 33.4312176)",a,1,0,,
East 6th Street,3,5591077.0,3,4,1,141.16,1,30,1000.0,residential,6,"LINESTRING (-111.9303126 33.4236793, -111.9302974 33.4237487, -111.9302893 33.4237753, -111.9302809 33.4238008, -111.9302683 33.4238287, -111.9302531 33.4238532, -111.9302353 33.4238761, -111.9302153 33.4238971, -111.9301901 33.4239166, -111.9301629 33.4239344, -111.9301342 33.4239491, -111.9301050 33.4239619, -111.9300750 33.4239741, -111.9299266 33.4240263, -111.9292474 33.4242503, -111.9290798 33.4242989)",a,1,0,,
East 6th Street,4,5591077.0,4,3,1,141.16,1,30,1000.0,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292474 33.4242503, -111.9299266 33.4240263, -111.9300750 33.4239741, -111.9301050 33.4239619, -111.9301342 33.4239491, -111.9301629 33.4239344, -111.9301901 33.4239166, -111.9302153 33.4238971, -111.9302353 33.4238761, -111.9302531 33.4238532, -111.9302683 33.4238287, -111.9302809 33.4238008, -111.9302893 33.4237753, -111.9302974 33.4237487, -111.9303126 33.4236793)",a,1,0,,
West 6th Street,5,5591085.0,5,6,1,21.29,1,40,1000.0,residential,6,"LINESTRING (-111.9403000 33.4243435, -111.9401499 33.4243445, -111.9400710 33.4243450)",a,1,0,,
West 6th Street,6,5591085.0,6,5,1,21.29,1,40,1000.0,residential,6,"LINESTRING (-111.9400710 33.4243450, -111.9401499 33.4243445, -111.9403000 33.4243435)",a,1,0,,
East 6th Street,7,5591100.0,7,8,1,89.94,1,40,1000.0,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375411 33.4243581, -111.9373581 33.4243583, -111.9367572 33.4243590, -111.9366660 33.4243591)",a,1,0,,
East 6th Street,8,5591100.0,8,7,1,89.94,1,40,1000.0,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9367572 33.4243590, -111.9373581 33.4243583, -111.9375411 33.4243581, -111.9376334 33.4243567)",a,1,0,,
East 6th Street,9,5591100.0,8,9,1,156.8,1,40,1000.0,residential,6,"LINESTRING (-111.9366660 33.4243591, -111.9365667 33.4243587, -111.9362338 33.4243617, -111.9358458 33.4243666, -111.9356716 33.4243667, -111.9355070 33.4243584, -111.9353940 33.4243427, -111.9352904 33.4243346, -111.9351644 33.4243302, -111.9350992 33.4243313, -111.9349819 33.4243327)",a,1,0,,
East 6th Street,10,5591100.0,9,8,1,156.8,1,40,1000.0,residential,6,"LINESTRING (-111.9349819 33.4243327, -111.9350992 33.4243313, -111.9351644 33.4243302, -111.9352904 33.4243346, -111.9353940 33.4243427, -111.9355070 33.4243584, -111.9356716 33.4243667, -111.9358458 33.4243666, -111.9362338 33.4243617, -111.9365667 33.4243587, -111.9366660 33.4243591)",a,1,0,,
East Apache Boulevard,11,5602753.0,10,11,1,73.59,2,80,1800.0,primary,3,"LINESTRING (-111.9389443 33.4152954, -111.9388211 33.4152092, -111.9386707 33.4151129, -111.9382922 33.4149218)",a,0,0,,
East Apache Boulevard,12,5602753.0,11,12,1,91.57,2,80,1800.0,primary,3,"LINESTRING (-111.9382922 33.4149218, -111.9381040 33.4148441, -111.9378250 33.4147525, -111.9375837 33.4146896, -111.9373669 33.4146466)",a,0,0,,
East Apache Boulevard,13,5602753.0,12,13,1,32.39,2,80,1800.0,primary,3,"LINESTRING (-111.9373669 33.4146466, -111.9370926 33.4146142, -111.9370216 33.4146084)",a,0,0,,
West 4th Street,14,5603481.0,14,15,1,20.74,1,40,1000.0,residential,6,"LINESTRING (-111.9400770 33.4264624, -111.9401520 33.4264630, -111.9403000 33.4264642)",a,1,0,,
West 4th Street,15,5603481.0,15,14,1,20.74,1,40,1000.0,residential,6,"LINESTRING (-111.9403000 33.4264642, -111.9401520 33.4264630, -111.9400770 33.4264624)",a,1,0,,
South Mill Avenue,16,5607328.0,16,17,1,102.66,3,48,1800.0,primary,3,"LINESTRING (-111.9400858 33.4219347, -111.9400890 33.4218868, -111.9400996 33.4218187, -111.9401025 33.4217870, -111.9401020 33.4215259, -111.9400799 33.4212624, -111.9400696 33.4210103)",a,0,0,,
