name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,is_zone
,1,41517309,,4,,primary,0,-111.9262877,33.4312176,,,,FALSE
,2,,,4,,primary,2,-111.9262851,33.432,,,boundary node created by osm2gmns,FALSE
,3,6106985023,,13,,residential,0,-111.9303126,33.4236793,,,,FALSE
,4,41529697,,13,,residential,0,-111.9290798,33.4242989,,,,FALSE
,5,,,11,,residential,0,-111.9403,33.4243435,,,boundary node created by osm2gmns,FALSE
,6,41529740,traffic_signals,11,signal,residential,0,-111.940071,33.424345,,,,FALSE
,7,2626664037,,11,,residential,0,-111.9376334,33.4243567,,,,FALSE
,8,41529813,,12,,residential,0,-111.936666,33.4243591,,,,FALSE
,9,316007232,traffic_signals,12,signal,tertiary,0,-111.9349819,33.4243327,,,,FALSE
,10,316007299,,21,,primary,0,-111.9389443,33.4152954,,,,FALSE
,11,316870046,,21,,primary,0,-111.9382922,33.4149218,,,,FALSE
,12,41624258,,21,,primary,0,-111.9373669,33.4146466,,,,FALSE
,13,4346575408,,21,,primary,0,-111.9370216,33.4146084,,,,FALSE
,14,41630200,traffic_signals,6,signal,primary,0,-111.940077,33.4264624,,,,FALSE
,15,,,6,,residential,0,-111.9403,33.4264642,,,boundary node created by osm2gmns,FALSE
,16,41662590,traffic_signals,11,signal,primary,0,-111.9400858,33.4219347,,,,FALSE
,17,9643219691,,16,,primary,0,-111.9400696,33.4210103,,,,FALSE
,18,1698683826,traffic_signals,16,signal,residential,0,-111.940038,33.4190663,,,,FALSE
,19,,,16,,residential,0,-111.9403,33.4190633,,,boundary node created by osm2gmns,FALSE
,20,41714336,traffic_signals,12,signal,residential,0,-111.936661,33.4219091,,,,FALSE
,21,8269005072,traffic_signals,12,signal,secondary,0,-111.934969,33.4219161,,,,FALSE
,22,2625359019,,6,,unclassified,0,-111.939526,33.4273825,,,,FALSE
,23,2625359021,traffic_signals,6,signal,unclassified,0,-111.9399672,33.4273845,,,,FALSE
,24,337713512,,6,,tertiary,0,-111.9394151,33.4255071,,,,FALSE
,25,41746580,,7,,tertiary,0,-111.9366724,33.425511,,,,FALSE
