poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
1,commercial;residential,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
2,hotel,"1,000 Sq. Ft. GFA",1,0.1,0.6,1,1
3,retail,"1,000 Sq. Ft. GFA",1,6.84,0.1,1,1
4,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.15,1,1
5,hospital,"1,000 Sq. Ft. GFA",1,0.97,0.1,1,1
6,chapel,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,1
7,floor,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
8,parking,"1,000 Sq. Ft. GFA",1,0.43,0.1,1,1
9,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
10,ramada,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
11,carport,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
12,roof;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
13,service,"1,000 Sq. Ft. GFA",1,0.48,0.1,1,1
14,apartments;bridge,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,yes,"1,000 Sq. Ft. GFA",1,1.0,1.0,1,1
16,no,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
17,apartments;yes,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
18,residential,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
19,government,"1,000 Sq. Ft. GFA",1,1.71,0.1,1,1
20,church,"1,000 Sq. Ft. GFA",1,0.49,0.1,1,1
21,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
22,bridge,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
23,industrial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
24,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
25,yes;roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
26,school,"1,000 Sq. Ft. GFA",1,1.37,0.1,1,1
27,house,"1,000 Sq. Ft. GFA",1,0.1,0.44,1,1
28,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.36,1,1
29,commercial,"1,000 Sq. Ft. GFA",1,0.63,0.1,1,1
