,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,0,50,37,242,6,62,23,44,2,0,107,72,35,255,0,297,68,134,229,0,128,158,29,235,0
2,4,0,8,50,2,12,5,9,1,0,20,14,7,51,0,56,14,27,46,0,25,31,6,47,0
3,3,8,0,42,1,9,4,8,1,0,16,12,6,43,0,44,11,22,38,0,19,25,5,38,0
4,18,44,37,0,7,51,21,44,2,0,92,67,34,267,0,262,63,131,235,0,114,147,28,237,0
5,1,2,1,7,0,2,1,2,1,0,3,2,1,7,0,7,2,4,6,0,3,4,1,7,0
6,4,8,6,38,1,0,4,7,1,0,18,12,6,41,0,49,12,22,37,0,21,26,5,38,0
7,2,4,3,17,1,5,0,3,1,0,8,6,3,18,0,21,5,10,16,0,9,11,2,17,0
8,4,9,8,51,2,11,5,0,1,0,20,14,8,54,0,55,14,28,48,0,24,31,6,49,0
9,1,1,1,2,1,1,1,1,0,0,1,1,1,2,0,2,1,1,2,0,1,2,1,2,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,9,7,43,2,12,5,8,1,0,0,14,7,48,0,60,14,26,44,0,26,32,6,46,0
12,3,8,6,38,1,10,4,7,1,0,17,0,6,42,0,49,12,23,39,0,21,27,5,40,0
13,3,5,5,28,1,7,3,6,1,0,12,9,0,32,0,34,9,17,29,0,15,19,4,30,0
14,27,66,54,384,10,80,32,68,3,0,145,107,56,0,0,426,104,220,404,0,187,245,47,403,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,21,49,38,252,6,65,25,47,2,0,123,83,39,285,0,0,84,158,265,0,165,199,35,282,0
17,3,7,5,33,1,8,3,6,1,0,15,11,6,37,0,45,0,21,35,0,20,26,5,37,0
18,3,6,5,29,1,7,3,6,1,0,13,9,5,34,0,37,9,0,32,0,17,22,4,34,0
19,17,42,35,241,6,52,21,43,2,0,95,70,37,289,0,283,69,148,0,0,126,166,33,278,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10,23,18,121,3,31,12,23,1,0,58,40,19,138,0,182,41,77,130,0,0,100,17,140,0
22,11,25,20,134,4,33,13,25,1,0,61,43,21,156,0,188,45,88,147,0,86,0,20,159,0
23,3,5,4,28,1,7,3,5,1,0,12,9,5,33,0,36,9,19,32,0,17,22,0,36,0
24,17,41,33,230,6,51,20,41,2,0,94,69,35,272,0,284,69,146,263,0,128,170,34,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
