zone_id,name,geometry,centroid,centroid_x,centroid_y,access_node_vector,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
1,A1,"POLYGON ((-111.94163 33.42842,-111.94163 33.432,-111.93702 33.432,-111.93702 33.42842,-111.94163 33.42842))",POINT (-111.93913216363636 33.43043131818181),-111.93913216363636,33.43043131818181,224;282;512;513;514;515;516;558;559;669;752,9,1,2,0,0,1,0,147.5656876106304,2117.775930507917
2,A2,"POLYGON ((-111.93702 33.42842,-111.93702 33.432,-111.93241 33.432,-111.93241 33.42842,-111.93702 33.42842))",POINT (-111.93471483333333 33.430926277777786),-111.93471483333332,33.430926277777786,508;560;561;676;677;678;753;756;798,9,1,0,0,0,0,0,401.760479980608,405.4829200585984
3,A3,"POLYGON ((-111.93241 33.42842,-111.93241 33.432,-111.9278 33.432,-111.9278 33.42842,-111.93241 33.42842))",POINT (-111.93046031111112 33.42968533333334),-111.93046031111112,33.42968533333334,426;504;509;562;563;624;679;754;755,9,0,0,0,0,0,0,320.995523437184,320.995523437184
4,A4,"POLYGON ((-111.9278 33.42842,-111.9278 33.432,-111.92319 33.432,-111.92319 33.42842,-111.9278 33.42842))",POINT (-111.92616170000001 33.42988516666667),-111.9261617,33.42988516666667,2;206;305,0,0,0,0,0,0,0,2000.0,2000.0
5,A5,"POLYGON ((-111.92319 33.42842,-111.92319 33.432,-111.91858 33.432,-111.91858 33.42842,-111.92319 33.42842))",POINT (-111.9186286 33.431419),-111.9186286,33.431419,636,1,0,0,0,0,0,0,53.884781297024006,53.884781297024006
6,B1,"POLYGON ((-111.9416314 33.42484,-111.9416314 33.42842,-111.9370214 33.42842,-111.9370214 33.42484,-111.9416314 33.42484))",POINT (-111.93924440000005 33.42631674117647),-111.93924440000004,33.42631674117647,313;442;449;473;476;481;511;546;554;555;556;557;630;683;684;688;689;690;727;728;729;758;759;760;761;762;763;799;800;801;915;916;917;933,34,0,0,5,0,0,0,504.2759195745664,328.552649650816
7,B2,"POLYGON ((-111.9370214 33.42484,-111.9370214 33.42842,-111.9324114 33.42842,-111.9324114 33.42484,-111.9370214 33.42484))",POINT (-111.93551533793102 33.42609479655173),-111.93551533793102,33.42609479655173,422;429;430;435;478;551;637;638;639;640;641;642;643;644;645;646;647;648;649;650;685;686;687;802;882;901;903;904;937,29,1,2,1,0,0,0,196.2630713881344,136.61402232152318
8,B3,"POLYGON ((-111.9324114 33.42484,-111.9324114 33.42842,-111.9278014 33.42842,-111.9278014 33.42484,-111.9324114 33.42484))",POINT (-111.93009628 33.426725850000004),-111.93009628,33.426725850000004,309;310;427;428;498;499;500;501;502;507;531;532;533;534;671;672;843;888;902;932,20,0,0,0,0,0,0,393.334598558592,393.334598558592
9,B4,"POLYGON ((-111.9278014 33.42484,-111.9278014 33.42842,-111.92319140000001 33.42842,-111.92319140000001 33.42484,-111.9278014 33.42484))",POINT (-111.92718364999999 33.425087919999996),-111.92718365,33.42508792,423;425;737;738;739;740;741;742;743;744,10,0,0,0,0,0,0,13.124974146239998,13.124974146239998
10,B5,"POLYGON ((-111.92319140000001 33.42484,-111.92319140000001 33.42842,-111.91858140000001 33.42842,-111.91858140000001 33.42484,-111.92319140000001 33.42484))",POINT (-111.9208864 33.42663),-111.9208864,33.42663,,0,0,0,0,0,0,0,0.0,0.0
