link_id,from_node_id,to_node_id,dir_flag,geometry,length
1,10874,10846,1,"LINESTRING (-81.3862789 28.6238899, -81.3863183 28.6244381, -81.3863325 28.6259571, -81.3863609 28.6262545, -81.3863951 28.6266957, -81.386444 28.6271509, -81.3865033 28.6275764, -81.3866062 28.6281631, -81.3866866 28.6286472, -81.3868273 28.6292846, -81.3869547 28.6297522, -81.387052 28.6301531, -81.3871532 28.6305196, -81.3872337 28.630887, -81.3873302 28.6313767, -81.3874108 28.6321135, -81.3874296 28.6324336, -81.3874188 28.6327092, -81.3873958 28.6330553, -81.387349 28.6339357, -81.3872948 28.6348241, -81.3872811 28.6353758, -81.3872777 28.6359626, -81.387304 28.6365191, -81.3873062 28.6369521, -81.3874109 28.6383423)",1616.987999
2,5077,4867,1,"LINESTRING (-81.4146448 28.4300813, -81.4144912 28.4301635, -81.4143453 28.4302497, -81.4141924 28.4303461, -81.4140473 28.4304425, -81.4138181 28.4306109, -81.4136082 28.4307593, -81.4134338 28.4308791, -81.4133348 28.4309445, -81.4132249 28.4310135, -81.4131111 28.4310818, -81.4130072 28.4311422, -81.4128959 28.431205, -81.4127892 28.4312629, -81.4126938 28.4313136, -81.4125937 28.4313646, -81.4124912 28.4314163, -81.4117746 28.4318448, -81.41156 28.4319202, -81.4113132 28.4319743, -81.4110728 28.4320045, -81.4089186 28.4320906)",624.8620513
3,17,4927,1,"LINESTRING (-81.4740668 28.4165652, -81.4738903 28.4173728, -81.4738107 28.417707, -81.4736992 28.4180467, -81.4735533 28.4183788, -81.473373 28.4186883, -81.4731499 28.4189827, -81.4728924 28.4192469, -81.472592 28.419496, -81.4722658 28.4197074, -81.4718881 28.4199112, -81.4714504 28.420115, -81.4709869 28.4202886, -81.4705749 28.4204245, -81.4700629 28.4205752, -81.4692153 28.4207262)",726.4605242
4,6785,20,1,"LINESTRING (-81.4758675 28.4498795, -81.4757769 28.4498718, -81.4757091 28.449864, -81.4756476 28.4498534, -81.4755783 28.4498354, -81.4755154 28.4498155, -81.475458 28.4497954, -81.475406 28.4497746, -81.4753574 28.4497508, -81.475312 28.4497244, -81.4752714 28.4496978, -81.4752293 28.4496673, -81.475193 28.4496356, -81.475157 28.4495974, -81.4751261 28.4495594, -81.475102 28.4495232, -81.4750822 28.4494871, -81.4750623 28.449451, -81.4750466 28.4494152, -81.4750337 28.4493789, -81.4750229 28.4493373, -81.4750143 28.4493008, -81.4748488 28.4485229, -81.4748348 28.4484528, -81.4748232 28.4483936, -81.4748104 28.448322, -81.4747377 28.4478825, -81.4747272 28.4478113, -81.4747152 28.4477323, -81.4747046 28.4476534, -81.4744917 28.4458553)",501.3958542
5,6908,5101,1,"LINESTRING (-81.4722122 28.450019, -81.4723191 28.4500504, -81.4724111 28.4500695, -81.4725095 28.4500831, -81.4726083 28.4500932, -81.4727144 28.450099, -81.4728255 28.4501043, -81.4729504 28.4501084, -81.473609 28.4501195)",137.614484
6,5101,9811,1,"LINESTRING (-81.473609 28.4501195, -81.4751349 28.45015, -81.4752438 28.4501533, -81.4753102 28.450156, -81.475375 28.4501606, -81.4754273 28.4501686, -81.4754883 28.45018, -81.4755458 28.4501948, -81.4756077 28.4502182, -81.4756618 28.4502423, -81.4757167 28.4502692, -81.4757629 28.4502943, -81.4758111 28.4503256, -81.4758586 28.450358, -81.4759056 28.4503961, -81.4759465 28.450434, -81.4759803 28.4504694, -81.476012 28.4505073, -81.4760415 28.4505477, -81.4760694 28.4505904, -81.4760914 28.450632, -81.4761103 28.4506768, -81.4761265 28.4507305, -81.4761397 28.4507829, -81.4761452 28.4508304, -81.4761492 28.4508825, -81.476149 28.4509292, -81.4761427 28.4509856, -81.4761311 28.4510381, -81.4761167 28.4510922, -81.4760974 28.4511435, -81.4760716 28.451192, -81.476044 28.4512396, -81.4760094 28.4512845, -81.475973 28.4513268, -81.4759332 28.4513647, -81.4758854 28.4514038, -81.4758337 28.4514384, -81.4757812 28.4514688, -81.4757165 28.4515006, -81.4756581 28.4515227, -81.4756072 28.4515388, -81.4755444 28.4515514, -81.4754784 28.4515619, -81.4754053 28.4515654, -81.4753422 28.4515634, -81.4752797 28.4515591, -81.475215 28.4515478, -81.475147 28.4515318, -81.4750813 28.4515084, -81.4750202 28.4514822, -81.4749591 28.4514485, -81.4749064 28.4514134, -81.4748504 28.4513673, -81.4748057 28.4513257, -81.4747645 28.4512801, -81.4747363 28.4512397, -81.4747042 28.4511899, -81.4746754 28.4511339, -81.4746519 28.4510772, -81.4746318 28.4510168, -81.4746127 28.4509493, -81.4746011 28.4508894, -81.4745873 28.4508219, -81.4745773 28.4507556, -81.4745662 28.4506805, -81.4745039 28.4502178)",604.3535669
7,11664,23,1,"LINESTRING (-81.4707077 28.4634445, -81.4705539 28.4632565, -81.470533 28.4632291, -81.4705133 28.4632009, -81.470495 28.4631739, -81.4704758 28.463144, -81.4704591 28.463114, -81.4704425 28.4630797, -81.4704286 28.4630465, -81.4704151 28.4630109, -81.4704023 28.4629736, -81.4703917 28.4629388, -81.4703828 28.4629015, -81.4703754 28.462864, -81.4703683 28.4628262, -81.4703641 28.462788, -81.47036 28.4627496, -81.4703582 28.4627126, -81.4703585 28.4626713, -81.4703611 28.4626302, -81.4703652 28.4625915, -81.4703714 28.4625522, -81.4703791 28.46251, -81.4703901 28.4624646, -81.470405 28.4624172, -81.4704198 28.4623732, -81.4704352 28.4623341, -81.4704517 28.4622992, -81.470467 28.4622684, -81.4704865 28.462235, -81.4705079 28.4622003, -81.470525 28.4621752, -81.4705482 28.4621436, -81.4705733 28.4621109, -81.4706008 28.4620788, -81.4706303 28.4620466, -81.4706606 28.4620164, -81.4706981 28.4619812, -81.4713755 28.4613786)",274.5441481
8,10768,5084,1,"LINESTRING (-81.4554861 28.4745498, -81.4558744 28.4743345, -81.4560032 28.4742658, -81.4560993 28.4742145, -81.4562064 28.4741613, -81.456325 28.4741072, -81.4564183 28.4740684, -81.4565218 28.4740314, -81.4566328 28.4739961, -81.4568217 28.4739376, -81.4568999 28.4739134, -81.4569706 28.4738916, -81.4570435 28.4738682, -81.4573328 28.4737744, -81.4573816 28.4737609, -81.4574313 28.4737498, -81.4574809 28.473741, -81.4575348 28.4737345, -81.45759 28.4737309, -81.4576455 28.4737296, -81.4576989 28.4737317, -81.4577558 28.4737367, -81.4578087 28.4737446, -81.4578676 28.473757, -81.4579208 28.4737706, -81.4579734 28.4737871, -81.458022 28.4738049, -81.4580693 28.4738269, -81.4581148 28.4738512, -81.4581551 28.4738734, -81.4581929 28.4738968, -81.4582319 28.4739247, -81.4582661 28.4739524, -81.4582984 28.473981, -81.4583265 28.4740086, -81.4583523 28.4740352, -81.4583757 28.4740613, -81.4584004 28.4740928, -81.4584192 28.4741187, -81.4584378 28.4741463, -81.4584554 28.474176, -81.4584705 28.4742046, -81.4584857 28.4742364, -81.4584985 28.4742672, -81.4585114 28.4743011, -81.4585218 28.4743341, -81.4585305 28.4743667, -81.4585387 28.474403, -81.4585449 28.4744453, -81.4585481 28.4744856, -81.4585496 28.4745261, -81.4585498 28.4745661, -81.4585372 28.4751128, -81.4585378 28.4751825, -81.4585412 28.4752668, -81.4586502 28.4770817)",655.0857103
9,30,23,1,"LINESTRING (-81.4588914 28.4754678, -81.4589747 28.4747835, -81.4589898 28.4746878, -81.4590099 28.4745836, -81.4590337 28.4744699, -81.4590619 28.4743585, -81.4590892 28.4742563, -81.45912 28.4741514, -81.4591513 28.4740528, -81.4591823 28.4739633, -81.4592107 28.4738854, -81.4592411 28.4738064, -81.459283 28.4737044, -81.4593275 28.4736033, -81.4593767 28.4735035, -81.4594283 28.4734041, -81.4594805 28.4733048, -81.4605071 28.4714324, -81.4605589 28.4713332, -81.4606105 28.4712352, -81.460664 28.4711353, -81.4609351 28.4706426, -81.4609896 28.4705453, -81.461045 28.470446, -81.4610995 28.4703478, -81.4611556 28.4702489, -81.4612128 28.4701507, -81.4612708 28.4700549, -81.4613309 28.4699597, -81.461393 28.469865, -81.4614579 28.4697693, -81.4615228 28.4696758, -81.4615877 28.4695833, -81.4616547 28.4694902, -81.4617229 28.4693981, -81.4617921 28.4693072, -81.461865 28.4692164, -81.461936 28.4691276, -81.4620092 28.469039, -81.4620834 28.468951, -81.4621607 28.468863, -81.462237 28.4687785, -81.4623169 28.4686931, -81.4623955 28.4686096, -81.4624757 28.4685252, -81.4625566 28.4684427, -81.4626397 28.4683606, -81.4627229 28.4682808, -81.4628095 28.4681998, -81.4628949 28.4681211, -81.4629838 28.4680425, -81.4630718 28.467964, -81.4631593 28.4678898, -81.4632513 28.4678129, -81.4633399 28.4677412, -81.4710062 28.4616767, -81.4711915 28.4615284, -81.4713755 28.4613786)",2036.369563
10,1118,39,1,"LINESTRING (-87.2132726 30.4193469, -87.2133789 30.4196282, -87.2135506 30.420026, -87.21369 30.4204238, -87.2138295 30.4209234, -87.2139475 30.4214323, -87.2140441 30.4220429, -87.2141514 30.4227275, -87.2142372 30.4233196, -87.214366 30.424106, -87.2144947 30.4248739, -87.2146449 30.4257897, -87.2148488 30.4270387)",870.5264341
11,39,38,1,"LINESTRING (-87.2148488 30.4270387, -87.214999 30.4279453, -87.2152886 30.4296382, -87.215353 30.43011, -87.2154388 30.4307391, -87.2154603 30.4310999, -87.2154496 30.4314144, -87.2154388 30.4317659, -87.2153959 30.4322562, -87.2153637 30.432691, -87.2153208 30.4330795, -87.2152886 30.4334865, -87.215261 30.4339353, -87.2152796 30.4345957, -87.21533 30.4350349, -87.215442 30.4356729)",965.7574937
12,47,42,1,"LINESTRING (-81.4794158 28.4053788, -81.4792348 28.4054532, -81.4790243 28.4056431, -81.478681 28.4059651, -81.4767999 28.4077174, -81.4763707 28.4081326, -81.4759158 28.4086007, -81.4752085 28.4093866)",608.4295811
13,48,49,1,"LINESTRING (-87.417761 30.5755121, -87.4187338 30.5759385, -87.4187925 30.5759642, -87.4191974 30.5761445, -87.4196069 30.5763392, -87.420455 30.5767678)",293.3786657
14,2825,11475,1,"LINESTRING (-87.1290131 30.5306135, -87.13059 30.5292825, -87.1321962 30.5278744, -87.1330339 30.5271938, -87.1347352 30.5258938, -87.1501641 30.5149363, -87.15178 30.5137616, -87.1540888 30.5121343, -87.155389 30.5112179, -87.156792 30.5103876, -87.1589624 30.5092796, -87.1599873 30.5086899, -87.1609417 30.5080925, -87.1616858 30.507625)",4047.78088
15,11475,11476,1,"LINESTRING (-87.1616858 30.507625, -87.1619247 30.5074589, -87.1627946 30.5068413)",137.3973903
16,180,5728,1,"LINESTRING (-82.6540474 27.7658923, -82.6515458 27.7658854)",246.1380578
17,124,3874,1,"LINESTRING (-81.5538243 28.3325564, -81.552855 28.3324748, -81.5525767 28.3324436, -81.5522911 28.3324061, -81.551994 28.3323608, -81.5516969 28.3323044, -81.5513966 28.3322388, -81.5510984 28.3321616, -81.5507372 28.332063, -81.5503673 28.3319635)",345.8590056
18,10672,3754,1,"LINESTRING (-81.3885408 28.6315143, -81.3888459 28.6314364, -81.3889752 28.6314073, -81.3890817 28.6313769, -81.389176 28.6313379, -81.3892695 28.6312907, -81.3893598 28.6312345, -81.3894531 28.6311566, -81.3895004 28.6311046, -81.3895609 28.6310246, -81.3896088 28.6309533, -81.3896569 28.6308589, -81.3896843 28.6307943, -81.3896988 28.6307463, -81.3897087 28.630674, -81.3897139 28.6305915, -81.3897128 28.6305166, -81.389701 28.6304464, -81.389677 28.630343, -81.389633 28.6302419, -81.3895907 28.6301666, -81.3895431 28.6300983, -81.3894532 28.6300006, -81.389358 28.6299217, -81.3892377 28.6298369, -81.3891537 28.6297844, -81.3890375 28.6296926)",293.6426398
19,4926,18,1,"LINESTRING (-81.4703089 28.4213303, -81.4717165 28.4217455, -81.4720598 28.4218738, -81.4723774 28.4220173, -81.472652 28.4221682, -81.4729267 28.4223569, -81.4731584 28.4225457, -81.4733558 28.4227646, -81.4735189 28.4229684, -81.4736563 28.4231873, -81.4737592 28.4233986, -81.4738451 28.4236251, -81.4739137 28.4238591, -81.4739567 28.4240704, -81.4740867 28.4250462)",611.9006106
20,42,41,1,"LINESTRING (-81.4752085 28.4093866, -81.4751633 28.4093806, -81.4750404 28.4094484, -81.4749258 28.4094998, -81.4748037 28.4095365, -81.4746831 28.4095588, -81.4745819 28.4095651, -81.47445 28.4095633, -81.4743375 28.4095498, -81.4738931 28.4094652)",134.3131955
