name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,is_zone
,1,194785846,motorway_junction,112,,motorway,0,-112.0423427,33.461472,,,,FALSE
,2,256202809,,112,,motorway,0,-112.0405593,33.4612912,,,,FALSE
,3,41198115,motorway_junction,146,,motorway,0,-111.7119497,33.3867575,,,,FALSE
,4,4346479126,,146,,motorway,0,-111.7180767,33.3870502,,,,FALSE
,5,256833492,motorway_junction,96,,motorway,0,-112.1125032,33.5055866,,,,FALSE
,6,41198155,,96,,motorway,0,-112.1121581,33.5075875,,,,FALSE
,7,41479685,motorway_junction,128,,motorway,0,-112.0030584,33.4107069,,,,FALSE
,8,256629355,,128,,motorway,0,-111.997135,33.4099683,,,,FALSE
,9,255734122,motorway_junction,143,,motorway,0,-111.9678428,33.3922814,,,,FALSE
,10,255734135,,143,,motorway,0,-111.9682176,33.3842412,,,,FALSE
,11,256833877,motorway_junction,96,,motorway,0,-112.112194,33.5203264,,,,FALSE
,12,1878604152,,96,,motorway,0,-112.1119142,33.5225377,,,,FALSE
,13,1759242356,motorway_junction,113,,motorway,0,-112.001551,33.4589597,,,,FALSE
,14,6124332652,,113,,motorway,0,-111.9979257,33.4589503,,,,FALSE
,15,41216723,motorway_junction,158,,motorway,0,-111.9723981,33.3111425,,,,FALSE
,16,5726433512,,158,,motorway,0,-111.9727488,33.3076755,,,,FALSE
,17,41229681,motorway_junction,127,,motorway,0,-112.0375606,33.4521749,,,,FALSE
,18,330527221,,127,,motorway,0,-112.0375987,33.4517466,,,,FALSE
,19,41231042,motorway_junction,112,,motorway,0,-112.0062131,33.4592517,,,,FALSE
,20,41231045,,112,,motorway,0,-112.0082045,33.459653,,,,FALSE
,21,41234103,motorway_junction,96,,motorway,0,-112.112445,33.5275916,,,,FALSE
,22,1878604168,,96,,motorway,0,-112.1126977,33.5256628,,,,FALSE
,23,256497111,motorway_junction,147,,motorway,0,-111.6232707,33.3865053,,,,FALSE
,24,256320871,motorway_junction,148,,motorway,0,-111.6209495,33.3863925,,,,FALSE
,25,256777606,motorway_junction,126,,motorway,0,-112.1061407,33.4303216,,,,FALSE
,26,41241086,,126,,motorway,0,-112.1076217,33.4339299,,,,FALSE
,27,316115414,,128,,motorway,0,-111.9782579,33.4348286,,,,FALSE
,28,256194249,,128,,motorway,0,-111.9738299,33.4371135,,,,FALSE
,29,41242964,motorway_junction,158,,motorway,0,-111.9720741,33.3138372,,,,FALSE
,30,2140214477,,158,,motorway,0,-111.9717703,33.317674,,,,FALSE
,31,5134826462,,111,,motorway,0,-112.0880899,33.4611032,,,,FALSE
,32,41245668,,111,,motorway,0,-112.0855491,33.4606966,,,,FALSE
,33,256783640,motorway_junction,111,,motorway,0,-112.112719,33.481918,,,,FALSE
,34,256784343,traffic_signals,111,signal,motorway,0,-112.1128309,33.4828179,,,,FALSE
,35,41249162,motorway_junction,148,,motorway,0,-111.5908284,33.3866985,,,,FALSE
,36,5130719658,,148,,motorway,0,-111.5963076,33.3870944,,,,FALSE
,37,41250865,,111,,motorway,0,-112.1134364,33.4938391,,,,FALSE
,38,4391984874,traffic_signals,111,signal,motorway,0,-112.1133086,33.4926264,,,,FALSE
,39,41256497,motorway_junction,96,,motorway,0,-112.112487,33.5136659,,,,FALSE
,40,41256495,,96,,motorway,0,-112.1127401,33.5113271,,,,FALSE
,41,256786301,traffic_signals,96,signal,motorway,0,-112.1121158,33.5120129,,,,FALSE
,42,256833495,,96,,motorway,0,-112.1122284,33.5136464,,,,FALSE
,43,5130719654,,148,,motorway,0,-111.599176,33.3859942,,,,FALSE
,44,41249169,traffic_signals,148,signal,motorway,0,-111.598102,33.3858911,,,,FALSE
,45,41259724,motorway_junction,143,,motorway,0,-111.933892,33.3857087,,,,FALSE
,46,4347614166,,143,,motorway,0,-111.9386661,33.3859575,,,,FALSE
,47,41260760,motorway_junction,189,,motorway,0,-111.9164172,33.2146518,,,,FALSE
,48,5128524030,,189,,motorway,0,-111.9175637,33.2184129,,,,FALSE
,49,256833397,motorway_junction,111,,motorway,0,-112.1129732,33.4912605,,,,FALSE
,50,9126748135,,111,,motorway,0,-112.1127025,33.4933188,,,,FALSE
,51,2637251215,traffic_signals,66,signal,motorway,0,-112.1148898,33.6420933,,,,FALSE
,52,256917140,,66,,motorway,0,-112.1151735,33.6442095,,,,FALSE
,53,10263942608,,128,,primary,0,-111.9485881,33.4445865,,,,FALSE
,54,41265242,,128,,primary,0,-111.9489708,33.4442238,,,,FALSE
,55,41267598,motorway_junction,143,,motorway,0,-111.9711154,33.3546267,,,,FALSE
,56,2301213547,,158,,motorway,0,-111.9722249,33.3508115,,,,FALSE
,57,256914409,motorway_junction,66,,motorway,0,-112.1159268,33.6346955,,,,FALSE
,58,256914677,,66,,motorway,0,-112.1155219,33.6372686,,,,FALSE
,59,41278524,motorway_junction,146,,motorway,0,-111.7291477,33.3866558,,,,FALSE
,60,4347940267,,146,,motorway,0,-111.735309,33.3871584,,,,FALSE
,61,347946485,,82,,primary,0,-112.0656101,33.5962309,,,,FALSE
,62,41281374,,82,,primary,0,-112.0658127,33.5948223,,,,FALSE
,63,41281387,,82,,primary,0,-112.0655882,33.5935544,,,,FALSE
,64,41281375,,82,,primary,0,-112.0652937,33.5947799,,,,FALSE
,65,1985340224,,82,,primary,0,-112.06546,33.5966304,,,,FALSE
,66,1985340215,,82,,primary,0,-112.0653682,33.5963904,,,,FALSE
,67,255704291,motorway_junction,189,,motorway,0,-111.9243342,33.2243591,,,,FALSE
,68,5128524031,,189,,motorway,0,-111.9227815,33.2200621,,,,FALSE
,69,41287063,,6,,motorway,0,-112.1408831,33.8200823,,,,FALSE
,70,311101758,,6,,motorway,0,-112.1429642,33.8244407,,,,FALSE
,71,41287096,,6,,motorway,0,-112.1421064,33.8197788,,,,FALSE
,72,41287054,,6,,motorway,0,-112.1400729,33.815518,,,,FALSE
,73,4347879829,,145,,motorway,0,-111.7871731,33.386783,,,,FALSE
,74,41291539,traffic_signals,145,signal,motorway,0,-111.788218,33.3868387,,,,FALSE
,75,256757546,motorway_junction,127,,motorway,0,-112.0786775,33.4290323,,,,FALSE
,76,41674541,,126,,motorway,0,-112.0815418,33.4296063,,,,FALSE
,77,41674500,,126,,motorway,0,-112.0815486,33.4288387,,,,FALSE
