index,value
168036,0.0
168037,0.0
168038,0.0
168039,0.0
168040,0.0
168041,0.0
168042,0.0
168043,0.0
168044,0.0
168045,0.0
168046,0.0
168047,0.0
168048,0.0
168049,0.0
168050,0.0
168051,0.0
168052,0.0
168053,0.0
168054,0.0
168055,0.0
168056,0.0
168057,0.0
168058,0.0
168059,0.0
168060,0.0
168061,0.0
168062,0.0
168063,0.0
168064,0.0
168065,0.0
168066,0.0
168067,0.0
168068,0.0
168069,0.0
168070,0.0
168071,0.0
168072,0.0
168073,0.0
168074,0.0
168075,0.0
168076,0.0
168077,0.0
168078,0.0
168079,0.0
168080,0.0
168081,0.0
168082,0.0
168083,0.0
168084,0.0
168085,0.0
168086,0.0
168087,0.0
168088,0.0
168089,0.0
168090,0.0
168091,0.0
168092,0.0
168093,0.0
168094,0.0
168095,0.0
168096,0.0
168097,0.0
168098,0.0
168099,0.0
168100,0.0
168101,0.0
168102,0.0
168103,0.0
168104,0.0
168105,0.0
168106,0.0
168107,0.0
168108,0.0
168109,0.0
168110,0.0
168111,0.0
168112,0.0
168113,0.0
168114,0.0
168115,0.0
168116,0.0
168117,0.0
168118,0.0
168119,0.0
168120,0.0
168121,0.0
168122,0.0
168123,0.0
168124,0.0
168125,0.0
168126,0.0
168127,0.0
168128,0.0
168129,0.0
168130,0.0
168131,0.0
168132,0.0
168133,0.0
168134,0.0
168135,0.0
168136,0.0
168137,0.0
168138,0.0
168139,0.0
168140,0.0
168141,0.0
168142,0.0
168143,0.0
168144,0.0
168145,0.0
168146,0.0
168147,0.0
168148,0.0
168149,0.0
168150,0.0
168151,0.0
168152,0.0
168153,0.0
168154,0.0
168155,0.0
168156,0.0
168157,0.0
168158,0.0
168159,0.0
168160,0.0
168161,0.0
168162,0.0
168163,0.0
168164,0.0
168165,0.0
168166,0.0
168167,0.0
168168,0.0
168169,0.0
168170,0.0
168171,0.0
168172,0.0
168173,0.0
168174,0.0
168175,0.0
168176,0.0
168177,0.0
168178,0.0
168179,0.0
168180,0.0
168181,0.0
168182,0.0
168183,0.0
168184,0.0
168185,0.0
168186,0.0
168187,0.0
168188,0.0
168189,0.0
168190,0.0
168191,0.0
168192,0.0
168193,0.0
168194,0.0
168195,0.0
168196,0.0
168197,0.0
168198,0.0
168199,0.0
168200,0.0
168201,0.0
168202,0.0
168203,0.0
168204,0.0
168205,0.0
168206,0.0
168207,0.0
168208,0.0
168209,0.0
168210,0.0
168211,0.0
168212,0.0
168213,0.0
168214,0.0
168215,0.0
168216,0.0
168217,0.0
168218,0.0
168219,0.0
168220,0.0
168221,0.0
168222,0.0
168223,0.0
168224,0.0
168225,0.0
168226,0.0
168227,0.0
168228,0.0
168229,0.0
168230,0.0
168231,0.0
168232,0.0
168233,0.0
168234,0.0
168235,0.0
168236,0.0
168237,0.0
168238,0.0
168239,0.0
168240,0.0
168241,0.0
168242,0.0
168243,0.0
168244,0.0
168245,0.0
168246,0.0
168247,0.0
168248,0.0
168249,0.0
168250,0.0
168251,0.0
168252,0.0
168253,0.0
168254,0.0
168255,0.0
168256,0.0
168257,0.0
168258,0.0
168259,0.0
168260,0.0
