name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South Apalosa Drive,1,5560498,1,2,1,185.39,1,30,1000,residential,6,"LINESTRING (-111.9765412 33.3871290, -111.9766099 33.3880464, -111.9765756 33.3887988)",a,1,0,,
South Apalosa Drive,2,5560498,2,1,1,185.39,1,30,1000,residential,6,"LINESTRING (-111.9765756 33.3887988, -111.9766099 33.3880464, -111.9765412 33.3871290)",a,1,0,,
South Apalosa Drive,3,5560498,2,3,1,210.34,1,30,1000,residential,6,"LINESTRING (-111.9765756 33.3887988, -111.9764726 33.3897806, -111.9765326 33.3906908)",a,1,0,,
South Apalosa Drive,4,5560498,3,2,1,210.34,1,30,1000,residential,6,"LINESTRING (-111.9765326 33.3906908, -111.9764726 33.3897806, -111.9765756 33.3887988)",a,1,0,,
South Westfall Avenue,5,5560500,4,5,1,80.94,1,30,1000,residential,6,"LINESTRING (-111.9557238 33.3258985, -111.9558869 33.3251814)",a,1,0,,
South Westfall Avenue,6,5560500,5,4,1,80.94,1,30,1000,residential,6,"LINESTRING (-111.9558869 33.3251814, -111.9557238 33.3258985)",a,1,0,,
South Westfall Avenue,7,5560500,5,6,1,84.72,1,30,1000,residential,6,"LINESTRING (-111.9558869 33.3251814, -111.9560414 33.3244283)",a,1,0,,
South Westfall Avenue,8,5560500,6,5,1,84.72,1,30,1000,residential,6,"LINESTRING (-111.9560414 33.3244283, -111.9558869 33.3251814)",a,1,0,,
South Westfall Avenue,9,5560501,7,8,1,87.48,1,30,1000,residential,6,"LINESTRING (-111.9567967 33.3229151, -111.9568139 33.3237040)",a,1,0,,
South Westfall Avenue,10,5560501,8,7,1,87.48,1,30,1000,residential,6,"LINESTRING (-111.9568139 33.3237040, -111.9567967 33.3229151)",a,1,0,,
South Westfall Avenue,11,5560502,9,10,1,56.41,1,30,1000,residential,6,"LINESTRING (-111.9556206 33.3928475, -111.9556206 33.3923387)",a,1,0,,
South Westfall Avenue,12,5560502,10,9,1,56.41,1,30,1000,residential,6,"LINESTRING (-111.9556206 33.3923387, -111.9556206 33.3928475)",a,1,0,,
South Westfall Avenue,13,5560503,11,12,1,79.55,1,30,1000,residential,6,"LINESTRING (-111.9551399 33.3897087, -111.9552086 33.3899165, -111.9552043 33.3900425, -111.9551914 33.3904182)",a,1,0,,
South Westfall Avenue,14,5560503,12,11,1,79.55,1,30,1000,residential,6,"LINESTRING (-111.9551914 33.3904182, -111.9552043 33.3900425, -111.9552086 33.3899165, -111.9551399 33.3897087)",a,1,0,,
South Westfall Avenue,15,5560503,12,13,1,81.04,1,30,1000,residential,6,"LINESTRING (-111.9551914 33.3904182, -111.9551828 33.3911491)",a,1,0,,
