name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1,41190566,,,,,,,-111.9765412,33.387129,,,
,2,41190568,,,,,,,-111.9765756,33.3887988,,,
,3,41190571,,,,,,,-111.9765326,33.3906908,,,
,4,41190577,,,,,,,-111.9557238,33.3258985,,,
,5,41190578,,,,,,,-111.9558869,33.3251814,,,
,6,41190580,,,,,,,-111.9560414,33.3244283,,,
,7,41190588,turning_circle,,,,,,-111.9567967,33.3229151,,,
,8,41190591,turning_circle,,,,,,-111.9568139,33.323704,,,
,9,41190597,,,,,,,-111.9556206,33.3928475,,,
,10,41190600,,,,,,,-111.9556206,33.3923387,,,
,11,41190606,,,,,,,-111.9551399,33.3897087,,,
,12,41190607,,,,,,,-111.9551914,33.3904182,,,
,13,41190610,,,,,,,-111.9551828,33.3911491,,,
,14,41190613,turning_circle,,,,,,-111.9551571,33.3923244,,,
,15,41190619,turning_circle,,,,,,-111.9552746,33.3873886,,,
,16,41190622,,,,,,,-111.9552086,33.3865984,,,
,17,41190628,,,,,,,-111.9569264,33.3714005,,,
,18,41190631,,,,,,,-111.9564543,33.3720528,,,
,19,41190644,,,,,,,-111.9558304,33.3726506,,,
,20,41190651,,,,,,,-111.9581995,33.3707565,,,
,21,41190654,,,,,,,-111.9572792,33.3716094,,,
,22,41190687,,,,,,,-111.8962446,33.400612,,,
,23,41190689,,,,,,,-111.894493,33.4006187,,,
,24,41190693,,,,,,,-111.893678,33.4006219,,,
,25,41190698,,,,,,,-111.8920213,33.4006283,,,
,26,41190707,,,,,,,-111.8962532,33.4002322,,,
,27,41190709,,,,,,,-111.8973054,33.4002384,,,
,28,41190714,,,,,,,-111.8997258,33.4002384,,,
,29,41190717,,,,,,,-111.9005361,33.4002251,,,
,30,41190722,,,,,,,-111.9011792,33.4002337,,,
,31,41190725,,,,,,,-111.9021891,33.4002169,,,
,32,41190728,,,,,,,-111.9031934,33.4001524,,,
,33,41190732,,,,,,,-111.9041338,33.4001515,,,
,34,41190735,,,,,,,-111.9063213,33.4001518,,,
,35,41190739,,,,,,,-111.9073825,33.4001524,,,
,36,41190744,,,,,,,-111.9084576,33.400148,,,
